race,income,parent_ed,raw_sat_score,cluster,cluster_percentile,adjusted_sat_score,score_boost
White,Q5,Bachelor,430,2,0.03161555485298767,410,-20
Hispanic,Q4,HS,400,11,0.042735042735042736,410,10
White,Q5,HS,440,6,0.04482294935006723,410,-30
White,Q2,Associate,450,21,0.04739336492890995,410,-40
Hispanic,Q5,Grad,400,31,0.049431537320810674,410,10
White,Q4,Bachelor,440,16,0.05370569280343716,410,-30
Black,Q3,Bachelor,410,28,0.05589714924538849,410,0
Hispanic,Q2,HS,410,29,0.06265664160401002,420,10
White,Q5,Bachelor,440,2,0.06323110970597534,420,-20
White,Q1,Bachelor,410,17,0.06389776357827476,420,10
Hispanic,Q5,Bachelor,440,8,0.06447453255963895,420,-20
Hispanic,Q1,Associate,410,10,0.06531678641410843,420,10
White,Q5,Grad,510,5,0.06666666666666667,420,-90
White,Q5,Grad,510,5,0.06666666666666667,420,-90
Two,Q4,No HS,400,18,0.06983240223463687,420,20
White,Q1,No HS,400,18,0.06983240223463687,420,20
White,Q4,HS,420,1,0.0723589001447178,420,0
Hispanic,Q4,No HS,400,3,0.07668711656441718,420,20
White,Q4,Grad,470,13,0.07708119218910586,420,-50
White,Q4,No HS,470,13,0.07708119218910586,420,-50
Asian,Q3,Bachelor,410,12,0.078125,420,10
Hispanic,Q2,Grad,430,25,0.07892659826361484,420,-10
White,Q1,Grad,410,9,0.07936507936507936,420,10
Asian,Q4,HS,410,32,0.08038585209003216,420,10
Hispanic,Q5,HS,420,11,0.08547008547008547,420,0
Asian,Q1,HS,400,14,0.09049773755656108,420,20
White,Q2,Grad,450,20,0.09823182711198428,420,-30
Hispanic,Q5,Grad,450,31,0.09886307464162135,420,-30
Black,Q3,Grad,410,4,0.10256410256410256,430,20
Asian,Q5,Grad,620,27,0.10570824524312897,430,-190
Black,Q4,HS,400,30,0.10645848119233499,430,30
Black,Q4,Bachelor,400,30,0.10645848119233499,430,30
Hispanic,Q3,No HS,440,26,0.10649627263045794,430,-10
White,Q4,Bachelor,460,16,0.10741138560687433,430,-30
White,Q5,Bachelor,470,2,0.11065444198545685,430,-40
Two,Q5,Bachelor,470,2,0.11065444198545685,430,-40
White,Q5,HS,470,6,0.11205737337516808,430,-40
White,Q5,HS,470,6,0.11205737337516808,430,-40
White,Q3,HS,440,24,0.11655011655011654,430,-10
Black,Q3,HS,440,24,0.11655011655011654,430,-10
White,Q5,Associate,480,21,0.11848341232227487,430,-50
Black,Q5,Associate,480,21,0.11848341232227487,430,-50
White,Q1,HS,420,19,0.12285012285012285,430,10
Two,Q2,Bachelor,400,7,0.1231527093596059,430,30
White,Q2,Bachelor,400,7,0.1231527093596059,430,30
White,Q2,HS,420,29,0.12531328320802004,430,10
Black,Q1,Bachelor,440,17,0.12779552715654952,430,-10
Hispanic,Q5,HS,430,11,0.1282051282051282,430,0
Hispanic,Q5,Bachelor,460,8,0.1289490651192779,430,-30
Hispanic,Q1,Bachelor,430,10,0.13063357282821686,430,0
White,Q5,Grad,540,5,0.13333333333333333,430,-110
Black,Q1,HS,400,33,0.1347708894878706,430,30
Black,Q5,Bachelor,430,0,0.13717421124828533,430,0
White,Q3,Bachelor,450,28,0.13974287311347122,430,-20
White,Q3,Bachelor,450,28,0.13974287311347122,430,-20
White,Q3,Grad,480,23,0.14534883720930233,440,-40
White,Q3,Grad,480,23,0.14534883720930233,440,-40
Hispanic,Q5,Grad,460,31,0.14829461196243202,440,-20
White,Q4,Grad,490,13,0.15416238437821173,440,-50
Asian,Q5,Bachelor,450,12,0.15625,440,-10
Hispanic,Q4,Grad,440,25,0.15785319652722968,440,0
White,Q5,Bachelor,480,2,0.15807777426493835,440,-40
Asian,Q4,No HS,480,32,0.1607717041800643,440,-40
White,Q1,No HS,420,18,0.16294227188081936,440,20
White,Q5,No HS,420,18,0.16294227188081936,440,20
Black,Q2,Bachelor,420,15,0.17406440382941687,440,20
Black,Q2,Grad,420,15,0.17406440382941687,440,20
Black,Q3,Associate,420,15,0.17406440382941687,440,20
White,Q5,Grad,550,5,0.17777777777777778,440,-110
White,Q4,HS,460,1,0.1808972503617945,450,-10
White,Q4,HS,460,1,0.1808972503617945,450,-10
Asian,Q3,No HS,440,14,0.18099547511312217,450,10
White,Q4,Bachelor,470,16,0.18796992481203006,450,-20
White,Q4,Bachelor,470,16,0.18796992481203006,450,-20
White,Q2,HS,440,29,0.18796992481203006,450,10
Hispanic,Q2,Bachelor,440,22,0.18867924528301888,450,10
Hispanic,Q2,Bachelor,440,22,0.18867924528301888,450,10
White,Q1,Bachelor,450,17,0.19169329073482427,450,0
Hispanic,Q3,HS,440,11,0.19230769230769232,450,10
Hispanic,Q5,HS,440,11,0.19230769230769232,450,10
Hispanic,Q5,Bachelor,470,8,0.19342359767891684,450,-20
Hispanic,Q1,Grad,440,10,0.1959503592423253,450,10
Hispanic,Q5,Grad,470,31,0.1977261492832427,450,-20
White,Q1,Grad,430,9,0.1984126984126984,450,20
Black,Q1,Grad,430,9,0.1984126984126984,450,20
Hispanic,Q3,Grad,450,4,0.20512820512820512,450,0
Asian,Q5,Grad,630,27,0.21141649048625794,450,-180
Black,Q4,No HS,420,30,0.21291696238466998,450,30
Hispanic,Q3,Bachelor,460,26,0.21299254526091588,450,-10
White,Q2,Associate,490,21,0.21327014218009477,450,-40
White,Q5,Associate,490,21,0.21327014218009477,450,-40
White,Q5,Bachelor,530,2,0.2213088839709137,460,-70
White,Q5,Bachelor,530,2,0.2213088839709137,460,-70
White,Q5,Bachelor,530,2,0.2213088839709137,460,-70
White,Q5,Grad,560,5,0.22222222222222224,460,-100
White,Q5,HS,490,6,0.22411474675033616,460,-30
White,Q5,HS,490,6,0.22411474675033616,460,-30
White,Q5,HS,490,6,0.22411474675033616,460,-30
Hispanic,Q4,Bachelor,440,3,0.23006134969325154,460,20
Hispanic,Q4,Bachelor,440,3,0.23006134969325154,460,20
Hispanic,Q4,Associate,440,3,0.23006134969325154,460,20
Hispanic,Q5,No HS,430,18,0.23277467411545624,460,30
White,Q2,Grad,460,20,0.2455795677799607,460,0
White,Q2,Grad,460,20,0.2455795677799607,460,0
White,Q1,HS,430,19,0.2457002457002457,460,30
Black,Q5,Grad,480,31,0.24715768660405338,460,-20
Two,Q2,HS,460,29,0.2506265664160401,460,0
Black,Q3,Bachelor,460,28,0.2515371716042482,460,0
White,Q3,Bachelor,460,28,0.2515371716042482,460,0
White,Q4,No HS,500,13,0.2569373072970195,460,-40
White,Q4,Grad,500,13,0.2569373072970195,460,-40
White,Q4,Grad,500,13,0.2569373072970195,460,-40
Hispanic,Q1,HS,450,10,0.2612671456564337,470,20
White,Q5,Grad,570,5,0.26666666666666666,470,-100
White,Q4,Bachelor,480,16,0.26852846401718583,470,-10
Black,Q1,HS,410,33,0.2695417789757412,470,60
Asian,Q5,HS,460,14,0.27149321266968324,470,10
White,Q3,HS,470,24,0.27195027195027194,470,0
White,Q3,HS,470,24,0.27195027195027194,470,0
Asian,Q3,Bachelor,460,12,0.2734375,470,10
Asian,Q5,Bachelor,460,12,0.2734375,470,10
Hispanic,Q4,Grad,500,25,0.27624309392265195,470,-30
Hispanic,Q2,Grad,500,25,0.27624309392265195,470,-30
White,Q1,No HS,440,18,0.27932960893854747,470,30
Asian,Q4,Associate,520,32,0.28135048231511256,470,-50
Asian,Q4,HS,520,32,0.28135048231511256,470,-50
Black,Q4,HS,450,30,0.28388928317955997,470,20
White,Q5,Bachelor,540,2,0.28453999367688904,470,-70
White,Q2,Bachelor,470,7,0.28735632183908044,470,0
White,Q2,Bachelor,470,7,0.28735632183908044,470,0
Black,Q1,Bachelor,460,17,0.2875399361022364,470,10
Black,Q1,Bachelor,460,17,0.2875399361022364,470,10
Hispanic,Q5,Bachelor,480,8,0.2901353965183753,470,-10
Hispanic,Q5,Bachelor,480,8,0.2901353965183753,470,-10
White,Q3,Grad,490,23,0.29069767441860467,470,-20
Hispanic,Q5,Grad,500,31,0.29658922392486403,470,-30
Two,Q3,Grad,460,4,0.3076923076923077,480,20
White,Q2,Associate,510,21,0.30805687203791465,480,-30
White,Q4,Associate,510,21,0.30805687203791465,480,-30
NHPI,Q5,No HS,450,18,0.3258845437616387,480,30
Hispanic,Q1,Bachelor,470,10,0.32658393207054215,480,10
White,Q5,Bachelor,550,2,0.33196332595637057,480,-70
White,Q5,Bachelor,550,2,0.33196332595637057,480,-70
White,Q5,Grad,600,5,0.33333333333333337,480,-120
White,Q5,Grad,600,5,0.33333333333333337,480,-120
