race,income,parent_ed,raw_sat_score
White,Q2,Grad,1010
Hispanic,Q2,Bachelor,1130
Hispanic,Q4,Bachelor,1270
Hispanic,Q5,Grad,1240
White,Q2,HS,1390
White,Q5,Grad,790
Black,Q5,HS,1120
Hispanic,Q5,Bachelor,1470
Black,Q2,Bachelor,1390
Hispanic,Q5,HS,1040
Asian,Q3,Bachelor,1110
Black,Q5,Bachelor,1410
Two,Q1,Bachelor,590
Asian,Q3,Bachelor,1200
Hispanic,Q5,HS,940
White,Q4,Grad,860
Hispanic,Q5,No HS,1100
White,Q4,Grad,920
Hispanic,Q5,Grad,890
Asian,Q1,Associate,760
Hispanic,Q3,HS,900
Asian,Q4,No HS,1030
White,Q4,Grad,850
White,Q4,Grad,1020
Asian,Q5,Grad,790
Hispanic,Q3,Bachelor,780
Hispanic,Q5,Bachelor,1110
White,Q5,HS,1170
Asian,Q4,Associate,1250
Two,Q3,Bachelor,980
Asian,Q4,Grad,750
Black,Q5,Bachelor,1440
White,Q5,Grad,1170
White,Q5,Bachelor,1020
White,Q3,Bachelor,870
White,Q2,HS,1500
Hispanic,Q5,Associate,1100
White,Q4,HS,1030
White,Q1,Bachelor,1260
Asian,Q1,Bachelor,1120
Hispanic,Q4,Associate,1360
Two,Q3,HS,1010
Black,Q2,Grad,710
White,Q3,No HS,1250
White,Q5,Associate,1090
Hispanic,Q5,HS,910
Hispanic,Q2,HS,1060
White,Q2,No HS,1090
Asian,Q5,Grad,980
Asian,Q4,HS,1070
Asian,Q2,Grad,1030
Hispanic,Q5,HS,1070
White,Q1,Bachelor,1190
Black,Q5,No HS,1080
Hispanic,Q5,HS,1230
White,Q4,HS,1240
Black,Q2,Associate,1090
Hispanic,Q2,HS,690
Hispanic,Q3,Grad,930
White,Q1,HS,830
White,Q4,Grad,950
White,Q4,No HS,1330
Asian,Q4,Bachelor,1280
Asian,Q1,Grad,1440
White,Q4,Bachelor,930
Black,Q5,Grad,1230
White,Q4,Bachelor,970
White,Q2,HS,1250
Black,Q4,Bachelor,1340
Hispanic,Q4,Grad,690
Black,Q5,Associate,1210
White,Q3,Bachelor,880
Hispanic,Q5,Grad,1110
White,Q4,Bachelor,830
Black,Q4,Bachelor,930
Asian,Q1,Grad,1470
White,Q5,Bachelor,1290
Black,Q5,Grad,1030
Asian,Q4,Associate,1190
White,Q2,Bachelor,970
Hispanic,Q5,No HS,1050
Asian,Q4,Grad,1110
White,Q5,Grad,1050
Hispanic,Q2,Grad,1250
White,Q2,Associate,1270
Asian,Q5,No HS,480
White,Q4,Grad,1390
White,Q5,Bachelor,820
Asian,Q3,HS,1010
White,Q5,Grad,1280
Black,Q1,Grad,1240
AIAN,Q3,Grad,880
Hispanic,Q4,HS,650
White,Q3,Associate,1030
Hispanic,Q1,Grad,970
White,Q4,HS,970
White,Q1,Associate,890
White,Q4,HS,1280
White,Q4,Associate,1480
Black,Q3,No HS,980
White,Q3,Associate,1230
Hispanic,Q4,Bachelor,960
Hispanic,Q5,Bachelor,1320
White,Q5,Bachelor,920
Asian,Q3,Grad,1030
Hispanic,Q5,Grad,1290
Black,Q5,Grad,1020
Asian,Q2,Bachelor,820
White,Q4,HS,1220
Black,Q2,HS,1100
White,Q2,No HS,830
White,Q5,Grad,980
White,Q5,Associate,1300
Asian,Q5,Bachelor,1540
White,Q2,Grad,890
Hispanic,Q3,Bachelor,570
White,Q5,Grad,1240
Hispanic,Q5,Grad,1120
White,Q5,Bachelor,1300
White,Q3,Bachelor,1090
Black,Q4,HS,1050
Hispanic,Q4,No HS,840
Asian,Q5,Grad,1450
Two,Q3,No HS,780
White,Q5,Associate,650
White,Q5,Grad,1270
Hispanic,Q4,Grad,1020
White,Q2,No HS,1410
Hispanic,Q4,HS,1270
Asian,Q4,HS,800
Asian,Q5,Grad,730
Hispanic,Q5,Associate,1000
Hispanic,Q2,Associate,810
White,Q3,Grad,1060
White,Q2,Grad,890
White,Q5,Grad,630
Hispanic,Q5,Grad,820
Hispanic,Q5,HS,820
White,Q4,HS,770
White,Q4,Bachelor,1140
White,Q3,Grad,1240
White,Q5,Grad,1160
Asian,Q2,Bachelor,740
Black,Q3,Bachelor,1100
Hispanic,Q4,Bachelor,1230
Asian,Q4,Associate,650
Asian,Q2,Grad,860
Asian,Q4,Grad,1100
Hispanic,Q5,Bachelor,1470
Hispanic,Q5,Bachelor,1050
Black,Q5,Bachelor,890
Asian,Q3,Bachelor,1360
White,Q3,HS,1260
NHPI,Q4,Grad,1060
Black,Q5,Bachelor,1210
Black,Q5,No HS,1110
Asian,Q5,Bachelor,860
Asian,Q3,Bachelor,920
White,Q5,Bachelor,1070
White,Q4,Grad,1290
White,Q5,No HS,1160
Black,Q3,Grad,1300
Hispanic,Q5,Associate,1000
White,Q5,Grad,1110
Black,Q5,Grad,790
White,Q4,Grad,1440
Two,Q4,Grad,1070
Hispanic,Q2,No HS,780
White,Q5,Grad,1590
Hispanic,Q1,HS,1100
White,Q3,HS,1050
White,Q4,Bachelor,800
Hispanic,Q2,Bachelor,1320
White,Q3,Grad,1190
White,Q4,Bachelor,1060
Two,Q2,HS,990
Hispanic,Q3,HS,1080
Black,Q5,Associate,850
White,Q5,Grad,1330
White,Q5,Grad,1090
White,Q4,HS,1050
Asian,Q4,HS,1020
White,Q5,Bachelor,790
Asian,Q5,Grad,1170
Two,Q3,Grad,1430
White,Q5,HS,890
Hispanic,Q3,Bachelor,940
White,Q1,Bachelor,1060
White,Q5,Bachelor,1070
Hispanic,Q2,Grad,1130
White,Q3,Associate,1030
White,Q2,Bachelor,1030
Black,Q5,Bachelor,710
Hispanic,Q2,No HS,720
Black,Q4,Grad,1030
White,Q4,Associate,1090
White,Q1,No HS,700
Black,Q2,Bachelor,810
White,Q1,HS,900
Hispanic,Q3,Grad,1120
White,Q4,Associate,650
White,Q4,HS,1200
Hispanic,Q5,Bachelor,870
Asian,Q4,Bachelor,1050
Asian,Q4,Grad,1180
White,Q1,HS,840
White,Q1,Grad,1170
White,Q3,Grad,790
Asian,Q3,HS,1240
Hispanic,Q5,Bachelor,990
White,Q5,Grad,1130
White,Q3,Bachelor,1210
Black,Q5,HS,1160
Hispanic,Q4,Bachelor,1160
White,Q1,HS,860
Hispanic,Q3,HS,890
White,Q2,Grad,1080
Black,Q4,HS,600
Black,Q5,Grad,1020
Asian,Q4,HS,1180
White,Q5,Bachelor,880
White,Q5,Bachelor,920
White,Q2,No HS,1030
White,Q3,Grad,810
White,Q1,Grad,1120
Black,Q1,Bachelor,980
Asian,Q5,Bachelor,920
White,Q4,Grad,1230
Hispanic,Q3,Grad,1150
White,Q5,Associate,1360
White,Q5,Grad,970
White,Q4,Bachelor,1080
Hispanic,Q1,HS,710
White,Q2,Bachelor,1220
White,Q5,Bachelor,800
Hispanic,Q4,Grad,1230
Hispanic,Q1,HS,1150
White,Q2,Bachelor,670
White,Q4,Bachelor,1210
White,Q3,No HS,900
White,Q1,Grad,1050
Black,Q3,Grad,1120
Black,Q2,HS,900
Asian,Q3,HS,1220
White,Q3,HS,1050
White,Q4,Bachelor,1150
Hispanic,Q5,Grad,820
White,Q5,Grad,970
Asian,Q3,HS,950
White,Q4,Bachelor,1010
White,Q4,Grad,1030
White,Q1,Bachelor,1350
Hispanic,Q5,Grad,690
Asian,Q5,No HS,1090
Black,Q4,Grad,960
Hispanic,Q3,Grad,960
White,Q2,Bachelor,1030
White,Q2,Grad,860
Hispanic,Q2,Grad,1590
White,Q2,No HS,590
White,Q4,No HS,790
White,Q2,Grad,1390
Hispanic,Q4,Bachelor,1130
Black,Q1,HS,450
Hispanic,Q4,Bachelor,790
Black,Q4,HS,1060
Black,Q5,HS,550
Two,Q4,Bachelor,1220
White,Q1,Bachelor,1120
Asian,Q5,Bachelor,1080
Black,Q4,HS,990
Hispanic,Q4,Grad,1260
Asian,Q2,No HS,1060
Hispanic,Q5,HS,960
White,Q4,Grad,1100
White,Q5,Bachelor,1000
White,Q2,No HS,900
White,Q5,Grad,870
Hispanic,Q4,No HS,860
White,Q1,No HS,820
White,Q2,No HS,1120
Hispanic,Q1,Grad,790
White,Q3,Bachelor,1280
Black,Q2,Grad,1250
Two,Q5,Grad,910
Asian,Q5,HS,1170
Two,Q5,Bachelor,770
White,Q5,HS,1040
Hispanic,Q5,Grad,810
White,Q5,Grad,1170
Hispanic,Q1,Associate,640
White,Q2,HS,730
White,Q1,HS,1270
White,Q3,Grad,1260
White,Q3,Bachelor,950
Asian,Q3,HS,1110
White,Q3,Bachelor,1260
Black,Q5,Grad,1140
White,Q5,Grad,1460
White,Q5,Bachelor,1060
Two,Q1,Bachelor,1200
Asian,Q2,No HS,910
White,Q1,HS,720
White,Q1,Bachelor,690
Hispanic,Q2,Grad,1090
White,Q3,Bachelor,1470
Black,Q2,Bachelor,980
Hispanic,Q2,Grad,600
Hispanic,Q2,HS,740
White,Q1,HS,1060
White,Q2,Associate,910
Hispanic,Q2,Bachelor,1160
Asian,Q1,HS,1270
Black,Q2,Bachelor,1190
White,Q4,Bachelor,1390
White,Q5,HS,1150
White,Q4,Bachelor,1380
White,Q3,Bachelor,1420
White,Q4,HS,1150
Two,Q4,Bachelor,970
White,Q4,HS,890
White,Q3,Bachelor,1270
Black,Q5,No HS,1090
Hispanic,Q5,Bachelor,1020
White,Q1,Bachelor,1160
White,Q4,Grad,1170
White,Q2,HS,1540
Hispanic,Q4,HS,890
Hispanic,Q1,No HS,620
Hispanic,Q2,HS,1070
Hispanic,Q3,Grad,1310
White,Q3,HS,860
Hispanic,Q4,Bachelor,1280
White,Q2,No HS,1020
Asian,Q1,HS,770
White,Q5,Grad,1170
Black,Q5,Bachelor,840
Hispanic,Q3,Bachelor,600
White,Q5,HS,970
Black,Q1,HS,930
White,Q4,Grad,930
